33.5,25.4,0
33.5,25.4,0
33.5,25.4,0
33.5,25.3,0
33.5,25.3,0
33.5,25.3,0
33.5,25.3,0
43.7,32.3,0
46.7,32.7,0
46.7,32.5,0.32
57,35.1,15.4
62.4,37.4,40.8
61.2,37,44.9
60.4,36.6,45.2
60,36.4,45.2
59.6,36.2,45.2
59.3,36,45.2
59.2,35.8,45.3
58.9,35.6,45.2
58.7,35.4,45.2
58.5,35.3,45.2
58.4,35.1,45.3
58,35,45.2
57.7,34.8,45.3
57.6,34.7,45.2
57.5,34.5,45.2
57.5,34.4,45.3
57.5,34.4,45.3
57.4,34.3,45.3
57.2,34.3,45.3
57,34.3,45.3
57,34.4,45.2
57.2,34.5,45.2
57.4,34.6,45.2
57.5,34.7,45.2
57.5,34.7,45.2
57.5,34.7,45.3
57.5,34.6,45.2
57.5,34.5,45.2
57.3,34.4,45.2
57.1,34.3,45.2
56.9,34.2,45.2
56.8,34.2,45.3
57.1,34.2,45.2
58.9,34.3,45.2
60.6,34.4,45.2
61.7,34.5,45.2
62.3,34.5,45.2
67.1,34.6,45.2
74.1,34.6,45.2
87.1,34.5,45
116,34.2,44.7
135,34.1,44.5
136,34,44.4
137,33.9,44.5
136,33.9,44.4
137,33.9,44.4
137,33.9,44.4
138,33.9,44.4
138,34,44.4
141,34,44.4
145,34,44.3
146,34,44.3
146,34,44.3
146,34,44.3
147,33.9,44.3
145,33.9,44.3
137,34,44.5
128,34,44.6
101,34.3,45
65.9,34.4,45.3
56.7,34.3,45.3
56.7,34.4,45.2
56.9,34.4,45.2
56.8,34.5,45.2
56.9,34.5,45.2
53.4,33.8,41.4
43.3,32.3,6.67
43.9,33,0
41.8,33.3,0
41.8,33.4,0
41.9,33.4,0
41.8,33.4,0
38.7,29.7,0
